time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive,sarscov2_pct_positive,Season
2020-04-04,province,nb,1.33,0.44,NA,2019-2020
2020-04-04,province,ab,0,0.37,NA,2019-2020
2020-04-04,province,mb,0,0,NA,2019-2020
2020-03-28,province,ns,10.66,5.18,NA,2019-2020
2020-03-28,province,nl,1.26,5.04,NA,2019-2020
2020-03-28,province,nb,3.69,5.9,NA,2019-2020
2020-03-28,province,mb,0,0,NA,2019-2020
2020-03-28,province,ab,0,1.79,NA,2019-2020
2020-03-28,province,sk,11.5,1.85,NA,2019-2020
2020-03-28,province,pe,13.24,16.18,NA,2019-2020
2020-03-28,territory,nt,0,19.4,NA,2019-2020
2020-03-28,territory,nu,6.67,10,NA,2019-2020
2020-03-28,territory,yt,0.45,1.01,NA,2019-2020
2020-03-21,territory,yt,0.71,1.67,NA,2019-2020
2020-03-21,territory,nu,2.56,10.26,NA,2019-2020
2020-03-21,territory,nt,0,22.73,NA,2019-2020
2020-03-21,province,ab,0,6.08,NA,2019-2020
2020-03-21,province,mb,0,0,NA,2019-2020
2020-03-21,province,nb,2.22,10.98,NA,2019-2020
2020-03-21,province,pe,16.33,20.41,NA,2019-2020
2020-03-21,province,ns,11.58,11.23,NA,2019-2020
2020-03-21,province,nl,2.66,12.85,NA,2019-2020
2020-03-21,province,sk,11.53,6.85,NA,2019-2020
2020-03-14,territory,yt,0.65,2.08,NA,2019-2020
2020-03-14,territory,nu,14.29,23.81,NA,2019-2020
2020-03-14,territory,nt,0,46.3,NA,2019-2020
2020-03-14,province,pe,21.79,29.49,NA,2019-2020
2020-03-14,province,ab,0,13.23,NA,2019-2020
2020-03-14,province,sk,13.29,11.74,NA,2019-2020
2020-03-14,province,ns,11.78,17.97,NA,2019-2020
2020-03-14,province,nl,5.03,23.81,NA,2019-2020
2020-03-14,province,nb,7.87,36.91,NA,2019-2020
2020-03-14,province,mb,0,0,NA,2019-2020
2020-03-07,province,ns,17.08,21.32,NA,2019-2020
2020-03-07,province,mb,4.69,22.4,NA,2019-2020
2020-03-07,province,nb,10.68,29.08,NA,2019-2020
2020-03-07,province,nl,6.19,36.84,NA,2019-2020
2020-03-07,province,pe,27.14,32.86,NA,2019-2020
2020-03-07,province,sk,15.38,18.2,NA,2019-2020
2020-03-07,territory,nt,0,48.57,NA,2019-2020
2020-03-07,territory,nu,12.5,34.38,NA,2019-2020
2020-03-07,territory,yt,0,4.33,NA,2019-2020
2020-03-07,province,ab,0,19.15,NA,2019-2020
2020-02-29,territory,yt,0,4.29,NA,2019-2020
2020-02-29,territory,nu,11.11,44.44,NA,2019-2020
2020-02-29,province,ab,0,23.27,NA,2019-2020
2020-02-29,province,pe,0,0,NA,2019-2020
2020-02-29,province,sk,15.32,18.71,NA,2019-2020
2020-02-29,territory,nt,0,44.83,NA,2019-2020
2020-02-29,province,nb,8.19,39.66,NA,2019-2020
2020-02-29,province,nl,10.17,33.05,NA,2019-2020
